gene_id,base_lcpm,true_lfc,batch_effect,dispersion,is_de,is_poisson,age_nonlinear
G0170,5.2346,0,0,0.1894,0,0,0
G0171,5.6577,0,0,0.1489,0,0,0
G0172,2.3678,0,0,1.192,0,0,0
G0173,6.6945,0,0,0.08793,0,0,0
G0174,5.3318,0,0,0.179,0,0,0
G0175,5.7749,0,0,0.1396,0,0,0
G0176,3.9744,0,0,0.4117,0,0,0
G0177,4.1584,0,0,0.366,0,0,0
G0178,4.7583,0,0,0.2517,0,0,0
G0179,3.6329,0,0,0.5137,0,0,0
G0180,6.5375,0,0,0.09459,0,0,0
G0181,4.0323,0,0,0.3967,0,0,0
G0182,4.8405,0,-0.4607,0.2394,0,0,0
G0183,5.3584,0,0.1582,0.1763,0,0,0
G0184,4.6852,0,0,0.2632,0,0,0
G0185,2.1865,0,0,1.348,0,0,0
G0186,3.297,0,-0.4842,0.6405,0,0,0
G0187,3.2683,0,-0.1505,0.6527,0,0,0
G0188,4.9648,0,0,0.2221,0,0,0
G0189,5.1036,0,0,0.2045,0,0,0
G0190,3.6514,0,0,0.5075,0,0,0
G0191,7.254,0,0,0.06931,0,0,0
G0192,4.4289,0,-0.0998,0.3086,0,0,0
G0193,4.7849,0,0,0.2476,0,0,0
G0194,3.8911,0,0,0.4344,0,0,0
G0195,3.5894,0,0,0.5285,0,0,0
G0196,0.9045,0,0,3.235,0,0,0
G0197,4.1195,0,0,0.3752,0,0,0
G0198,3.4554,0,0,0.577,0,0,0
G0199,6.7297,0,0,0.08654,0,0,0
G0200,6.7902,0,0,0.08421,0,0,0
G0201,4.754,0,0,0.2524,0,0,0
G0202,1.9958,0,0,1.534,0,0,0
G0203,5.7546,0,0.2089,0.1411,0,0,0
G0204,1.7594,0,0,1.802,0,0,0
G0205,4.8417,0,0,0.2393,0,0,0
G0206,7.0908,0,0,0.07402,0,0,0
G0207,2.8223,0,0,0.8783,0,0,0
G0208,4.3708,0,0,0.32,0,0,0
G0209,4.0558,0,0,0.3908,0,0,0
G0210,4.3595,0,0.2575,0.3223,0,0,0
G0211,5.6244,0,0,0.1516,0,0,0
G0212,6.0276,0,0,0.122,0,0,0
G0213,4.9302,0,0,0.2268,0,0,0
G0214,3.5106,0,0,0.5564,0,0,0
G0215,4.1367,0,0,0.3711,0,0,0
G0216,4.1825,0,0,0.3604,0,0,0
G0217,2.6401,0,0,0.9925,0,0,0
G0218,3.6294,0,0.1156,0.5148,0,0,0
G0219,5.8973,0,0,0.1307,0,0,0
G0220,3.38,0,0.1084,0.6063,0,0,0
G0221,1.9078,0,0,1.629,0,0,0
G0222,3.991,0,-1.1245,0.4073,0,0,0
G0223,5.1741,0,0,0.1962,0,0,0
G0224,7.2374,0,0,0.06976,0,0,0
G0225,4.4991,0,0,0.2953,0,0,0
G0226,3.5457,0,0,0.5438,0,0,0
G0227,3.5684,0,0,0.5358,0,0,0
G0228,1.369,0,0,2.353,0,0,0
G0229,2.4213,0,0,1.15,0,0,0
G0230,5.7546,0,0,0.1411,0,0,0
G0231,4.8882,0,0.4719,0.2326,0,0,0
G0232,4.1998,0,0,0.3565,0,0,0
G0233,4.4797,0,0,0.2989,0,0,0
G0234,5.8282,0,0,0.1356,0,0,0
G0235,6.2494,0,0,0.1089,0,0,0
G0236,4.0391,0,0,0.395,0,0,0
G0237,3.4049,0,0,0.5965,0,0,0
G0238,0.7556,0,0,3.584,0,0,0
G0239,1.9301,0,0,1.604,0,0,0
G0240,5.829,0,0,0.1355,0,0,0
G0241,5.2996,0,0,0.1823,0,0,0
G0242,2.2925,0,0,1.255,0,0,0
G0243,2.2747,0,0,1.27,0,0,0
G0244,3.2959,0,0,0.6409,0,0,0
G0245,-0.0242,0,0,6.131,0,0,0
G0246,4.5876,0,0,0.2795,0,0,0
G0247,4.579,0,0,0.281,0,0,0
G0248,3.5319,0,0,0.5487,0,0,0
G0249,4.7184,0,0,0.2579,0,0,0
G0250,5.0766,0,0,0.2078,0,0,0
G0251,4.3736,0,0,0.3194,0,0,0
G0252,3.3326,0,0,0.6256,0,0,0
G0253,4.1615,0,0,0.3653,0,0,0
G0254,2.9838,0,0.0762,0.7885,0,0,0
G0255,4.8635,0,0,0.2361,0,0,0
G0256,2.2922,0,0,1.255,0,0,0
G0257,2.8381,0,0,0.8691,0,0,0
G0258,6.1127,0,0,0.1167,0,0,0
G0259,0.3662,0,0,4.685,0,0,0
G0260,1.2592,0,0,2.537,0,0,0
G0261,3.1548,0,0,0.7037,0,0,0
G0262,7.8639,0,-0.0862,0.05576,0,0,0
G0263,3.8885,0,0.689,0.4351,0,0,0
G0264,5.3403,0,0,0.1781,0,0,0
G0265,3.2245,0,0,0.6719,0,0,0
G0266,2.7899,0,1.0833,0.8976,0,0,0
G0267,1.3696,0,0,2.352,0,0,0
G0268,4.303,0,0,0.334,0,0,0
G0269,3.0905,0,0.3807,0.7344,0,0,0
G0270,1.6876,0,0,1.893,0,0,0
G0271,4.5622,0,0,0.284,0,0,0
G0272,5.1764,0,0,0.1959,0,0,0
G0273,3.8387,0,0.2757,0.4494,0,0,0
G0274,7.7799,0,0,0.0573,0,0,0
G0275,3.5054,0,0,0.5584,0,0,0
G0276,4.8408,0,0,0.2394,0,0,0
G0277,2.1044,0,0,1.425,0,0,0
G0278,7.1275,0,0,0.07291,0,0,0
G0279,4.2613,0,0,0.3429,0,0,0
G0280,4.1167,0,0.2984,0.3759,0,0,0
G0281,2.4604,0,-0.3415,1.12,0,0,0
G0282,2.882,0,0,0.8439,0,0,0
G0283,1.9368,0,0,1.597,0,0,0
G0284,2.2821,0,0,1.264,0,0,0
G0285,9.7125,0,0,0.03715,0,0,0
G0286,3.1063,0,0,0.7267,0,0,0
G0287,1.7446,0,0,1.82,0,0,0
G0288,4.5418,0,0,0.2876,0,0,0
G0289,5.6872,0,0,0.1465,0,0,0
G0290,3.4202,0,-0.1334,0.5905,0,0,0
G0291,3.5808,0,0,0.5314,0,0,0
G0292,5.6396,0,0,0.1504,0,0,0
G0293,5.5719,0,0,0.1561,0,0,0
G0294,4.2941,0,0,0.3358,0,0,0
G0295,5.1729,0,0,0.1963,0,0,0
G0296,3.5524,0,0,0.5414,0,0,0
G0297,8.2349,0,0,0.04992,0,0,0
G0298,-1.4183,0,0,16.07,0,0,0
G0299,5.097,0,-0.4658,0.2053,0,0,0
G0300,4.4461,0,0.3909,0.3053,0,0,0
G0301,0.9861,0,0,3.059,0,0,0
G0302,6.5107,0,0,0.0958,0,0,0
G0303,6.5177,0,0.0634,0.09548,0,0,0
G0304,2.1337,0,0,1.397,0,0,0
G0305,2.8708,0,0,0.8503,0,0,0
G0306,2.7787,0,0.9124,0.9044,0,0,0
G0307,0.8317,0,0,3.401,0,0,0
G0308,5.2111,0,0,0.192,0,0,0
G0309,6.0289,0,0.6396,0.1219,0,0,0
G0310,-0.5552,0,0,8.846,0,0,0
G0311,3.734,0,0,0.4809,0,0,0
G0312,5.8077,0,0,0.1371,0,0,0
G0313,4.7481,0,0,0.2533,0,0,0
G0314,3.9118,0,0,0.4286,0,0,0
G0315,3.7956,0,0,0.4621,0,0,0
G0316,7.4609,0,-0.0834,0.06406,0,0,0
G0317,-0.9508,0,0,11.63,0,0,0
G0318,2.0967,0,0,1.433,0,0,0
G0319,3.384,0,0,0.6047,0,0,0
G0320,2.8411,0,0,0.8673,0,0,0
G0321,4.0748,0,0.501,0.3861,0,0,0
G0322,5.5329,0,0,0.1596,0,0,0
G0323,5.1666,0,0,0.197,0,0,0
G0324,4.4733,0,0,0.3001,0,0,0
G0325,6.6758,0,0,0.08869,0,0,0
G0326,6.6884,0,0,0.08818,0,0,0
G0327,1.5347,0,0,2.101,0,0,0
G0328,6.5012,0,0,0.09624,0,0,0
G0329,3.2317,0,0,0.6687,0,0,0
G0330,1.9478,0,0,1.585,0,0,0
G0331,4.138,0,0,0.3708,0,0,0
G0332,1.0767,0,0,2.875,0,0,0
G0333,4.0893,0,-1.1753,0.3825,0,0,0
G0334,2.498,0,0,1.092,0,0,0
G0335,6.5819,0,0,0.09263,0,0,0
G0336,6.3619,0,0,0.1029,0,0,0
G0337,3.5281,0,0,0.5501,0,0,0
G0338,2.0847,0,-0.1288,1.444,0,0,0
G0339,2.7062,0,0.5523,0.9494,0,0,0
G0340,2.9547,0,0,0.8039,0,0,0
G0341,5.8019,0,0,0.1376,0,0,0
G0342,4.371,0,0,0.32,0,0,0
G0343,5.3503,0,0,0.1771,0,0,0
G0344,6.0428,0,0,0.121,0,0,0
G0345,6.2899,0,0,0.1067,0,0,0
G0346,5.7737,0,0,0.1397,0,0,0
G0347,5.3866,0,0,0.1734,0,0,0
G0348,2.915,0,0,0.8255,0,0,0
G0349,1.8124,0,-0.5257,1.738,0,0,0
G0350,4.0125,0,0,0.4018,0,0,0
G0351,5.5384,0,0,0.1591,0,0,0
G0352,4.4209,0,0,0.3101,0,0,0
G0353,4.2212,0,0,0.3517,0,0,0
G0354,6.0403,0,0.5051,0.1212,0,0,0
G0355,2.8836,0,0,0.843,0,0,0
G0356,5.4047,0,0.2964,0.1716,0,0,0
G0357,3.0035,0,0,0.7782,0,0,0
G0358,1.6146,0,-0.2195,1.989,0,0,0
G0359,3.7369,0,0,0.48,0,0,0
G0360,3.4224,0,-0.1556,0.5896,0,0,0
G0361,3.9448,0,0,0.4196,0,0,0
G0362,2.9627,0,0,0.7996,0,0,0
G0363,4.8166,0,0,0.2429,0,0,0
G0364,5.7371,0,0,0.1425,0,0,0
G0365,1.2261,0,0,2.595,0,0,0
G0366,3.9383,0,0.2361,0.4214,0,0,0
G0367,5.4812,0,0,0.1643,0,0,0
G0368,1.7148,0,0,1.858,0,0,0
G0369,2.473,0,0,1.111,0,0,0
G0370,4.2039,0,0,0.3556,0,0,0
G0371,1.6751,0,0.7444,1.909,0,0,0
G0372,1.727,0,-0.2494,1.842,0,0,0
G0373,3.9416,0,0,0.4205,0,0,0
G0374,5.2111,0,-0.5573,0.192,0,0,0
G0375,1.6604,0,0,1.928,0,0,0
G0376,6.4383,0,0.0052,0.09919,0,0,0
G0377,1.8698,0,0,1.672,0,0,0
G0378,3.7179,0,0,0.486,0,0,0
G0379,3.9956,0,0,0.4061,0,0,0
G0380,2.6116,0,0,1.012,0,0,0
G0381,4.5507,0,-1.9037,0.286,0,0,0
G0382,4.3334,0,0,0.3276,0,0,0
G0383,1.7107,0,0,1.863,0,0,0
G0384,4.704,0,0,0.2602,0,0,0
G0385,4.0796,0,-0.4561,0.3849,0,0,0
G0386,4.3568,0,-0.1295,0.3228,0,0,0
G0387,4.9708,0,0,0.2213,0,0,0
G0388,3.0385,0,0,0.7602,0,0,0
G0389,5.0444,0,0,0.2118,0,0,0
G0390,5.2082,0,0.6181,0.1923,0,0,0
G0391,5.5746,0,0,0.1559,0,0,0
G0392,6.2271,0,0.0489,0.1101,0,0,0
G0393,3.0958,0,0,0.7318,0,0,0
G0394,6.1639,0,0,0.1137,0,0,0
G0395,5.8222,0,0,0.136,0,0,0
G0396,3.4202,0,-0.2573,0.5905,0,0,0
G0397,6.8295,0,0,0.08276,0,0,0
G0398,3.5892,0,-1.4116,0.5285,0,0,0
G0399,5.5941,0,0,0.1542,0,0,0
G0400,4.0993,0,0,0.3801,0,0,0
G0401,4.6098,0,0,0.2757,0,0,0
G0402,4.2506,0,0,0.3452,0,0,0
G0403,3.9003,0,0,0.4318,0,0,0
G0404,1.2664,0,0,2.524,0,0,0
G0405,4.1534,0,0,0.3672,0,0,0
G0406,1.5046,0,0,2.145,0,0,0
G0407,6.2153,0,0,0.1108,0,0,0
G0408,3.5587,0,0,0.5392,0,0,0
G0409,7.6781,0,0,0.0593,0,0,0
G0410,4.8048,0,0,0.2447,0,0,0
G0411,4.3933,0,0,0.3155,0,0,0
G0412,4.5701,0,0,0.2826,0,0,0
G0413,1.7969,0,0,1.757,0,0,0
G0414,5.2288,0,0,0.19,0,0,0
G0415,5.5934,0,0.7667,0.1543,0,0,0
G0416,2.5906,0,0,1.026,0,0,0
G0417,3.857,0,0,0.4441,0,0,0
G0418,3.8922,0,0,0.4341,0,0,0
G0419,3.5083,0,0,0.5573,0,0,0
G0420,2.5995,0,-0.7966,1.02,0,0,0
G0421,3.9457,0,0,0.4194,0,0,0
G0422,4.3164,0,0,0.3312,0,0,0
G0423,2.2676,0,0,1.276,0,0,0
G0424,0.3361,0,0,4.783,0,0,0
G0425,1.9478,0,0,1.585,0,0,0
G0426,7.7792,0,-0.5767,0.05731,0,0,0
G0427,1.3089,0,0,2.452,0,0,0
G0428,4.0224,0,0,0.3992,0,0,0
G0429,5.6711,0,0,0.1478,0,0,0
G0430,5.1466,0,0,0.1994,0,0,0
G0431,5.7438,0,0,0.142,0,0,0
G0432,0.7572,0,0,3.58,0,0,0
G0433,6.7809,0,0,0.08456,0,0,0
G0434,6.201,0,0,0.1116,0,0,0
G0435,1.6061,0,0,2.001,0,0,0
G0436,6.3163,0,0.4836,0.1053,0,0,0
G0437,2.8319,0,0,0.8727,0,0,0
G0438,2.9344,0,0,0.8149,0,0,0
G0439,5.7424,0,-0.1631,0.1421,0,0,0
G0440,2.4466,0,0,1.131,0,0,0
G0441,3.4987,0,0.0745,0.5608,0,0,0
G0442,5.1252,0,0,0.2019,0,0,0
G0443,3.689,0,0,0.4952,0,0,0
G0444,6.6062,0,0,0.09159,0,0,0
G0445,2.7015,0,0,0.9524,0,0,0
G0446,6.5455,0,0,0.09423,0,0,0
G0447,5.985,0,0,0.1247,0,0,0
G0448,3.5089,0,0,0.5571,0,0,0
G0449,7.2833,0,0,0.06852,0,0,0
G0450,5.8396,0,0,0.1348,0,0,0
G0451,-0.563,0,0,8.894,0,0,0
G0452,4.1472,0,0,0.3686,0,0,0
G0453,1.8296,0,0,1.718,0,0,0
G0454,4.8048,0,0,0.2447,0,0,0
G0455,4.897,0,0,0.2314,0,0,0
G0456,3.9985,0,0,0.4054,0,0,0
G0457,3.6298,0,0,0.5147,0,0,0
G0458,3.8524,0,0,0.4454,0,0,0
G0459,3.5152,0,0,0.5548,0,0,0
G0460,3.1481,0,0,0.7068,0,0,0
G0461,3.2997,0,0,0.6393,0,0,0
G0462,4.2151,0,0,0.353,0,0,0
G0463,1.0793,0,0,2.87,0,0,0
G0464,1.2213,0,0,2.603,0,0,0
G0465,1.3628,0,0,2.363,0,0,0
G0466,6.0706,0,0.1984,0.1193,0,0,0
G0467,4.9804,0,-0.0616,0.2201,0,0,0
G0468,3.7138,0,0,0.4873,0,0,0
G0469,7.4639,0,0,0.06398,0,0,0
G0470,0.4815,0,0,4.327,0,0,0
G0471,3.2753,0,0,0.6497,0,0,0
G0472,3.8283,0,0,0.4524,0,0,0
G0473,3.6682,0,0,0.502,0,0,0
G0474,4.3248,0,0,0.3294,0,0,0
G0475,0.7754,0,0,3.535,0,0,0
G0476,4.4401,0,0,0.3064,0,0,0
G0477,1.9817,0,0,1.549,0,0,0
G0478,4.0179,0,0,0.4004,0,0,0
G0479,5.0053,0,0,0.2168,0,0,0
G0480,5.1264,0,0,0.2018,0,0,0
G0481,2.0627,0,0,1.466,0,0,0
G0482,1.6116,0,-0.0486,1.993,0,0,0
G0483,3.2078,0,0,0.6794,0,0,0
G0484,4.3685,0,-0.2056,0.3205,0,0,0
G0485,3.0494,0,0,0.7548,0,0,0
G0486,5.2092,0,0,0.1922,0,0,0
G0487,2.2011,0,-0.4623,1.335,0,0,0
G0488,2.9101,0,0,0.8282,0,0,0
G0489,3.7159,0,0,0.4866,0,0,0
G0490,2.4765,0,0,1.108,0,0,0
G0491,6.0151,0,0,0.1228,0,0,0
G0492,1.4645,0,0.1071,2.204,0,0,0
G0493,2.7847,0,0,0.9007,0,0,0
G0494,3.2441,0,0,0.6633,0,0,0
G0495,4.2124,0,0,0.3537,0,0,0
G0496,5.7793,0,0,0.1392,0,0,0
G0497,5.6672,0,0,0.1481,0,0,0
G0498,3.8817,0,0,0.437,0,0,0
G0499,4.5023,0,0.1917,0.2947,0,0,0
G0500,3.2848,0,0,0.6456,0,0,0
