t,day,dayn,hour,weekend,glucose,true_trend,true_cycle,true_season
63,0.6562,1,15.75,0,160,149.213,0,6.997
64,0.6667,1,16,0,157,149.2,0,5.713
65,0.6771,1,16.25,0,154,149.188,0,4.641
66,0.6875,1,16.5,0,152,149.175,0,3.752
67,0.6979,1,16.75,0,152,149.162,0,3.022
68,0.7083,1,17,0,154,149.15,0,2.425
69,0.7188,1,17.25,0,149,149.137,0,1.94
70,0.7292,1,17.5,0,151,149.125,0,1.548
71,0.7396,1,17.75,0,144,149.113,0,1.231
72,0.75,1,18,0,144,149.1,0,0.978
73,0.7604,1,18.25,0,142,149.088,0,0.774
74,0.7708,1,18.5,0,201,149.075,0,36.371
75,0.7812,1,18.75,0,230,149.062,0,57.749
76,0.7917,1,19,0,226,149.05,0,66.618
77,0.8021,1,19.25,0,227,149.037,0,67.788
78,0.8125,1,19.5,0,206,149.025,0,64.472
79,0.8229,1,19.75,0,197,149.012,0,58.777
80,0.8333,1,20,0,198,149,0,52.052
81,0.8438,1,20.25,0,199,148.988,0,45.131
82,0.8542,1,20.5,0,196,148.975,0,38.506
83,0.8646,1,20.75,0,181,148.963,0,32.44
84,0.875,1,21,0,178,148.95,0,27.051
85,0.8854,1,21.25,0,168,148.938,0,22.368
86,0.8958,1,21.5,0,157,148.925,0,18.365
87,0.9062,1,21.75,0,150,148.912,0,14.988
88,0.9167,1,22,0,148,148.9,0,12.169
89,0.9271,1,22.25,0,156,148.887,0,9.836
90,0.9375,1,22.5,0,146,148.875,0,7.919
91,0.9479,1,22.75,0,152,148.863,0,6.353
92,0.9583,1,23,0,149,148.85,0,5.081
93,0.9688,1,23.25,0,151,148.838,0,4.052
94,0.9792,1,23.5,0,150,148.825,0,3.223
95,0.9896,1,23.75,0,151,148.812,0,2.558
96,1,2,0,0,155,148.8,0,0
97,1.0104,2,0.25,0,152,148.787,0,0
98,1.0208,2,0.5,0,149,148.775,0,0
99,1.0312,2,0.75,0,146,148.762,0,0
100,1.0417,2,1,0,148,148.75,0,0
101,1.0521,2,1.25,0,156,148.738,0,0
102,1.0625,2,1.5,0,154,148.725,0,0.001
103,1.0729,2,1.75,0,154,148.713,0,0.003
104,1.0833,2,2,0,152,148.7,0,0.007
105,1.0938,2,2.25,0,155,148.688,0,0.015
106,1.1042,2,2.5,0,157,148.675,0,0.035
107,1.1146,2,2.75,0,157,148.662,0,0.073
108,1.125,2,3,0,159,148.65,0,0.147
109,1.1354,2,3.25,0,163,148.637,0,0.278
110,1.1458,2,3.5,0,157,148.625,0,0.497
111,1.1562,2,3.75,0,159,148.613,0,0.843
112,1.1667,2,4,0,159,148.6,0,1.352
113,1.1771,2,4.25,0,166,148.588,0,2.051
114,1.1875,2,4.5,0,158,148.575,0,2.943
115,1.1979,2,4.75,0,159,148.562,0,3.995
116,1.2083,2,5,0,164,148.55,0,5.129
117,1.2188,2,5.25,0,163,148.537,0,6.23
118,1.2292,2,5.5,0,166,148.525,0,7.159
119,1.2396,2,5.75,0,168,148.512,0,7.781
120,1.25,2,6,0,165,148.5,0,8
121,1.2604,2,6.25,0,168,148.488,0,7.781
122,1.2708,2,6.5,0,166,148.475,0,7.159
123,1.2812,2,6.75,0,168,148.463,0,6.23
124,1.2917,2,7,0,163,148.45,0,5.129
125,1.3021,2,7.25,0,164,148.438,0,14.683
126,1.3125,2,7.5,0,177,148.425,0,27.391
127,1.3229,2,7.75,0,196,148.412,0,32.956
128,1.3333,2,8,0,203,148.4,0,34.144
129,1.3438,2,8.25,0,203,148.387,0,32.789
130,1.3542,2,8.5,0,190,148.375,0,30.078
131,1.3646,2,8.75,0,180,148.363,0,26.761
132,1.375,2,9,0,176,148.35,0,23.296
133,1.3854,2,9.25,0,169,148.338,0,19.947
134,1.3958,2,9.5,0,157,148.325,0,16.861
135,1.4062,2,9.75,0,155,148.312,0,14.103
136,1.4167,2,10,0,153,148.3,0,11.694
137,1.4271,2,10.25,0,159,148.287,0,9.626
138,1.4375,2,10.5,0,145,148.275,0,7.873
139,1.4479,2,10.75,0,149,148.262,0,6.405
140,1.4583,2,11,0,141,148.25,0,5.186
141,1.4688,2,11.25,0,139,148.238,0,4.182
142,1.4792,2,11.5,0,137,148.225,0,3.36
143,1.4896,2,11.75,0,142,148.213,0,2.69
144,1.5,2,12,0,139,148.2,0,2.148
145,1.5104,2,12.25,0,136,148.188,0,1.71
146,1.5208,2,12.5,0,145,148.175,0,5.2
147,1.5312,2,12.75,0,143,148.162,0,21.782
148,1.5417,2,13,0,158,148.15,0,30.015
149,1.5521,2,13.25,0,166,148.137,0,32.973
150,1.5625,2,13.5,0,167,148.125,0,32.73
151,1.5729,2,13.75,0,158,148.113,0,30.666
152,1.5833,2,14,0,168,148.1,0,27.677
153,1.5938,2,14.25,0,170,148.088,0,24.335
154,1.6042,2,14.5,0,170,148.075,0,20.986
155,1.6146,2,14.75,0,174,148.062,0,17.829
156,1.625,2,15,0,172,148.05,0,14.97
157,1.6354,2,15.25,0,169,148.037,0,12.449
158,1.6458,2,15.5,0,156,148.025,0,10.27
159,1.6562,2,15.75,0,147,148.012,0,8.415
160,1.6667,2,16,0,155,148,0,6.857
161,1.6771,2,16.25,0,152,147.988,0,5.559
162,1.6875,2,16.5,0,152,147.975,0,4.487
163,1.6979,2,16.75,0,146,147.963,0,3.608
164,1.7083,2,17,0,147,147.95,0,2.892
165,1.7188,2,17.25,0,146,147.938,0,2.311
166,1.7292,2,17.5,0,148,147.925,0,1.841
167,1.7396,2,17.75,0,151,147.912,0,1.464
168,1.75,2,18,0,141,147.9,0,1.161
169,1.7604,2,18.25,0,142,147.887,0,0.919
170,1.7708,2,18.5,0,145,147.875,0,0.726
171,1.7812,2,18.75,0,155,147.863,0,14.19
172,1.7917,2,19,0,192,147.85,0,41.96
173,1.8021,2,19.25,0,201,147.838,0,55.425
174,1.8125,2,19.5,0,208,147.825,0,59.89
175,1.8229,2,19.75,0,191,147.812,0,58.929
176,1.8333,2,20,0,198,147.8,0,54.911
177,1.8438,2,20.25,0,199,147.787,0,49.376
178,1.8542,2,20.5,0,202,147.775,0,43.296
179,1.8646,2,20.75,0,183,147.762,0,37.26
180,1.875,2,21,0,183,147.75,0,31.606
181,1.8854,2,21.25,0,179,147.738,0,26.502
182,1.8958,2,21.5,0,182,147.725,0,22.015
183,1.9062,2,21.75,0,172,147.713,0,18.146
184,1.9167,2,22,0,170,147.7,0,14.858
185,1.9271,2,22.25,0,178,147.688,0,12.098
186,1.9375,2,22.5,0,165,147.675,0,9.803
187,1.9479,2,22.75,0,167,147.662,0,7.909
188,1.9583,2,23,0,158,147.65,0,6.357
189,1.9688,2,23.25,0,158,147.637,0,5.093
190,1.9792,2,23.5,0,157,147.625,0,4.068
191,1.9896,2,23.75,0,152,147.613,0,3.241
192,2,3,0,0,145,147.6,0,0
193,2.0104,3,0.25,0,145,147.588,0,0
194,2.0208,3,0.5,0,140,147.575,0,0
195,2.0312,3,0.75,0,135,147.562,0,0
196,2.0417,3,1,0,137,147.55,0,0
197,2.0521,3,1.25,0,135,147.537,0,0
198,2.0625,3,1.5,0,136,147.525,0,0.001
199,2.0729,3,1.75,0,142,147.512,0,0.003
200,2.0833,3,2,0,145,147.5,0,0.007
201,2.0938,3,2.25,0,148,147.488,0,0.015
202,2.1042,3,2.5,0,141,147.475,0,0.035
203,2.1146,3,2.75,0,139,147.463,0,0.073
204,2.125,3,3,0,137,147.45,0,0.147
205,2.1354,3,3.25,0,145,147.438,0,0.278
206,2.1458,3,3.5,0,139,147.425,0,0.497
207,2.1562,3,3.75,0,144,147.412,0,0.843
208,2.1667,3,4,0,147,147.4,0,1.352
209,2.1771,3,4.25,0,152,147.387,0,2.051
210,2.1875,3,4.5,0,149,147.375,0,2.943
211,2.1979,3,4.75,0,142,147.363,0,3.995
212,2.2083,3,5,0,149,147.35,0,5.129
213,2.2188,3,5.25,0,149,147.338,0,6.23
214,2.2292,3,5.5,0,150,147.325,0,7.159
215,2.2396,3,5.75,0,151,147.312,0,7.781
216,2.25,3,6,0,152,147.3,0,8
217,2.2604,3,6.25,0,149,147.287,0,7.781
218,2.2708,3,6.5,0,153,147.275,0,7.159
219,2.2812,3,6.75,0,154,147.262,0,6.23
220,2.2917,3,7,0,149,147.25,0,5.129
221,2.3021,3,7.25,0,147,147.238,0,3.995
222,2.3125,3,7.5,0,140,147.225,0,2.943
223,2.3229,3,7.75,0,153,147.213,0,14.787
224,2.3333,3,8,0,168,147.2,0,29.028
225,2.3438,3,8.25,0,185,147.188,0,35.462
226,2.3542,3,8.5,0,184,147.175,0,37.064
227,2.3646,3,8.75,0,182,147.162,0,35.811
228,2.375,3,9,0,173,147.15,0,32.996
229,2.3854,3,9.25,0,165,147.137,0,29.451
230,2.3958,3,9.5,0,161,147.125,0,25.692
231,2.4062,3,9.75,0,168,147.113,0,22.03
232,2.4167,3,10,0,173,147.1,0,18.635
233,2.4271,3,10.25,0,154,147.088,0,15.593
234,2.4375,3,10.5,0,156,147.075,0,12.931
235,2.4479,3,10.75,0,154,147.062,0,10.644
236,2.4583,3,11,0,149,147.05,0,8.705
237,2.4688,3,11.25,0,142,147.037,0,7.081
238,2.4792,3,11.5,0,143,147.025,0,5.733
239,2.4896,3,11.75,0,149,147.012,0,4.622
240,2.5,3,12,0,146,147,0,3.712
241,2.5104,3,12.25,0,150,146.988,0,2.972
242,2.5208,3,12.5,0,148,146.975,0,2.373
243,2.5312,3,12.75,0,156,146.963,0,9.602
244,2.5417,3,13,0,164,146.95,0,25.5
245,2.5521,3,13.25,0,168,146.938,0,33.122
246,2.5625,3,13.5,0,171,146.925,0,35.546
247,2.5729,3,13.75,0,184,146.912,0,34.847
248,2.5833,3,14,0,181,146.9,0,32.395
249,2.5938,3,14.25,0,169,146.887,0,29.083
250,2.6042,3,14.5,0,165,146.875,0,25.472
251,2.6146,3,14.75,0,161,146.863,0,21.902
252,2.625,3,15,0,163,146.85,0,18.565
253,2.6354,3,15.25,0,159,146.838,0,15.559
254,2.6458,3,15.5,0,162,146.825,0,12.918
255,2.6562,3,15.75,0,158,146.812,0,10.644
256,2.6667,3,16,0,152,146.8,0,8.712
257,2.6771,3,16.25,0,146,146.787,0,7.092
258,2.6875,3,16.5,0,149,146.775,0,5.745
259,2.6979,3,16.75,0,152,146.762,0,4.634
260,2.7083,3,17,0,152,146.75,0,3.724
261,2.7188,3,17.25,0,149,146.738,0,2.983
262,2.7292,3,17.5,0,150,146.725,0,2.382
263,2.7396,3,17.75,0,152,146.713,0,1.898
264,2.75,3,18,0,149,146.7,0,1.508
265,2.7604,3,18.25,0,149,146.688,0,1.196
266,2.7708,3,18.5,0,149,146.675,0,0.946
267,2.7812,3,18.75,0,146,146.662,0,0.747
268,2.7917,3,19,0,166,146.65,0,25.49
269,2.8021,3,19.25,0,183,146.637,0,50.206
270,2.8125,3,19.5,0,203,146.625,0,61.434
271,2.8229,3,19.75,0,207,146.613,0,64.262
272,2.8333,3,20,0,208,146.6,0,62.105
273,2.8438,3,20.25,0,190,146.588,0,57.214
274,2.8542,3,20.5,0,183,146.575,0,51.042
275,2.8646,3,20.75,0,182,146.562,0,44.499
276,2.875,3,21,0,174,146.55,0,38.127
277,2.8854,3,21.25,0,173,146.537,0,32.228
278,2.8958,3,21.5,0,172,146.525,0,26.948
279,2.9062,3,21.75,0,164,146.512,0,22.333
280,2.9167,3,22,0,151,146.5,0,18.372
281,2.9271,3,22.25,0,156,146.488,0,15.018
282,2.9375,3,22.5,0,150,146.475,0,12.211
283,2.9479,3,22.75,0,145,146.463,0,9.882
284,2.9583,3,23,0,155,146.45,0,7.964
285,2.9688,3,23.25,0,154,146.438,0,6.395
286,2.9792,3,23.5,0,148,146.425,0,5.119
287,2.9896,3,23.75,0,147,146.412,0,4.086
288,3,4,0,0,143,146.4,0,0
289,3.0104,4,0.25,0,143,146.387,0,0
290,3.0208,4,0.5,0,149,146.375,0,0
291,3.0312,4,0.75,0,144,146.363,0,0
292,3.0417,4,1,0,150,146.35,0,0
293,3.0521,4,1.25,0,152,146.338,0,0
294,3.0625,4,1.5,0,155,146.325,0,0.001
295,3.0729,4,1.75,0,145,146.312,0,0.003
296,3.0833,4,2,0,148,146.3,0,0.007
297,3.0938,4,2.25,0,150,146.287,0,0.015
298,3.1042,4,2.5,0,154,146.275,0,0.035
299,3.1146,4,2.75,0,146,146.262,0,0.073
300,3.125,4,3,0,150,146.25,0,0.147
301,3.1354,4,3.25,0,146,146.238,0,0.278
302,3.1458,4,3.5,0,144,146.225,0,0.497
303,3.1562,4,3.75,0,145,146.213,0,0.843
304,3.1667,4,4,0,140,146.2,0,1.352
305,3.1771,4,4.25,0,144,146.188,0,2.051
306,3.1875,4,4.5,0,143,146.175,0,2.943
307,3.1979,4,4.75,0,148,146.162,0,3.995
308,3.2083,4,5,0,148,146.15,0,5.129
309,3.2188,4,5.25,0,146,146.137,0,6.23
310,3.2292,4,5.5,0,147,146.125,0,7.159
311,3.2396,4,5.75,0,146,146.113,0,7.781
312,3.25,4,6,0,150,146.1,0,8
313,3.2604,4,6.25,0,149,146.088,0,7.781
314,3.2708,4,6.5,0,144,146.075,0,7.159
315,3.2812,4,6.75,0,142,146.062,0,6.23
316,3.2917,4,7,0,136,146.05,0,5.129
317,3.3021,4,7.25,0,147,146.037,0,3.995
318,3.3125,4,7.5,0,144,146.025,0,2.943
319,3.3229,4,7.75,0,159,146.012,0,15.698
320,3.3333,4,8,0,186,146,0,31.739
321,3.3438,4,8.25,0,185,145.988,0,39.048
322,3.3542,4,8.5,0,190,145.975,0,40.94
323,3.3646,4,8.75,0,182,145.963,0,39.625
324,3.375,4,9,0,182,145.95,0,36.551
325,3.3854,4,9.25,0,173,145.938,0,32.648
326,3.3958,4,9.5,0,168,145.925,0,28.496
327,3.4062,4,9.75,0,163,145.912,0,24.442
328,3.4167,4,10,0,164,145.9,0,20.682
329,3.4271,4,10.25,0,165,145.887,0,17.309
330,3.4375,4,10.5,0,173,145.875,0,14.357
331,3.4479,4,10.75,0,174,145.863,0,11.819
332,3.4583,4,11,0,172,145.85,0,9.667
333,3.4688,4,11.25,0,168,145.838,0,7.864
334,3.4792,4,11.5,0,162,145.825,0,6.367
335,3.4896,4,11.75,0,154,145.812,0,5.134
336,3.5,4,12,0,157,145.8,0,4.124
337,3.5104,4,12.25,0,156,145.787,0,3.302
338,3.5208,4,12.5,0,160,145.775,0,2.636
339,3.5312,4,12.75,0,154,145.762,0,2.099
340,3.5417,4,13,0,164,145.75,0,14.334
341,3.5521,4,13.25,0,190,145.738,0,29.069
342,3.5625,4,13.5,0,199,145.725,0,35.814
343,3.5729,4,13.75,0,195,145.713,0,37.577
344,3.5833,4,14,0,185,145.7,0,36.378
345,3.5938,4,14.25,0,186,145.688,0,33.55
346,3.6042,4,14.5,0,181,145.675,0,29.954
347,3.6146,4,14.75,0,169,145.662,0,26.129
348,3.625,4,15,0,168,145.65,0,22.397
349,3.6354,4,15.25,0,157,145.637,0,18.939
350,3.6458,4,15.5,0,146,145.625,0,15.84
351,3.6562,4,15.75,0,153,145.613,0,13.131
352,3.6667,4,16,0,160,145.6,0,10.804
353,3.6771,4,16.25,0,159,145.588,0,8.833
354,3.6875,4,16.5,0,162,145.575,0,7.183
355,3.6979,4,16.75,0,156,145.562,0,5.814
356,3.7083,4,17,0,159,145.55,0,4.686
357,3.7188,4,17.25,0,159,145.537,0,3.763
358,3.7292,4,17.5,0,150,145.525,0,3.013
359,3.7396,4,17.75,0,146,145.512,0,2.405
360,3.75,4,18,0,145,145.5,0,1.914
361,3.7604,4,18.25,0,138,145.488,0,1.52
362,3.7708,4,18.5,0,132,145.475,0,1.205
363,3.7812,4,18.75,0,135,145.463,0,0.953
364,3.7917,4,19,0,154,145.45,0,15.502
365,3.8021,4,19.25,0,173,145.438,0,35.055
366,3.8125,4,19.5,0,174,145.425,0,44.211
367,3.8229,4,19.75,0,194,145.412,0,46.864
368,3.8333,4,20,0,194,145.4,0,45.63
369,3.8438,4,20.25,0,199,145.387,0,42.238
370,3.8542,4,20.5,0,197,145.375,0,37.807
371,3.8646,4,20.75,0,196,145.363,0,33.04
372,3.875,4,21,0,187,145.35,0,28.362
373,3.8854,4,21.25,0,170,145.338,0,24.01
374,3.8958,4,21.5,0,151,145.325,0,20.1
375,3.9062,4,21.75,0,155,145.312,0,16.675
376,3.9167,4,22,0,157,145.3,0,13.728
377,3.9271,4,22.25,0,163,145.287,0,11.231
378,3.9375,4,22.5,0,155,145.275,0,9.137
379,3.9479,4,22.75,0,151,145.262,0,7.398
380,3.9583,4,23,0,153,145.25,0,5.965
381,3.9688,4,23.25,0,151,145.238,0,4.792
382,3.9792,4,23.5,0,150,145.225,0,3.837
383,3.9896,4,23.75,0,142,145.213,0,3.064
384,4,5,0,0,137,145.2,0,0
385,4.0104,5,0.25,0,135,145.188,0,0
386,4.0208,5,0.5,0,144,145.175,0,0
387,4.0312,5,0.75,0,142,145.162,0,0
388,4.0417,5,1,0,132,145.15,0,0
389,4.0521,5,1.25,0,144,145.137,0,0
390,4.0625,5,1.5,0,141,145.125,0,0.001
391,4.0729,5,1.75,0,136,145.113,0,0.003
392,4.0833,5,2,0,139,145.1,0,0.007
393,4.0938,5,2.25,0,145,145.088,0,0.015
394,4.1042,5,2.5,0,146,145.075,0,0.035
395,4.1146,5,2.75,0,141,145.062,0,0.073
396,4.125,5,3,0,145,145.05,0,0.147
397,4.1354,5,3.25,0,144,145.037,0,0.278
398,4.1458,5,3.5,0,151,145.025,0,0.497
399,4.1562,5,3.75,0,147,145.012,0,0.843
400,4.1667,5,4,0,153,145,0,1.352
401,4.1771,5,4.25,0,155,144.988,0,2.051
402,4.1875,5,4.5,0,155,144.975,0,2.943
403,4.1979,5,4.75,0,157,144.963,0,3.995
404,4.2083,5,5,0,160,144.95,0,5.129
405,4.2188,5,5.25,0,159,144.938,0,6.23
406,4.2292,5,5.5,0,165,144.925,0,7.159
407,4.2396,5,5.75,0,160,144.912,0,7.781
408,4.25,5,6,0,161,144.9,0,8
409,4.2604,5,6.25,0,163,144.887,0,7.781
410,4.2708,5,6.5,0,162,144.875,0,7.159
411,4.2812,5,6.75,0,162,144.863,0,6.23
412,4.2917,5,7,0,158,144.85,0,5.129
413,4.3021,5,7.25,0,152,144.838,0,3.995
414,4.3125,5,7.5,0,162,144.825,0,9.172
415,4.3229,5,7.75,0,183,144.812,0,24.972
416,4.3333,5,8,0,184,144.8,0,32.501
417,4.3438,5,8.25,0,176,144.787,0,34.881
418,4.3542,5,8.5,0,180,144.775,0,34.191
419,4.3646,5,8.75,0,196,144.762,0,31.791
420,4.375,5,9,0,187,144.75,0,28.556
421,4.3854,5,9.25,0,175,144.738,0,25.03
422,4.3958,5,9.5,0,180,144.725,0,21.543
423,4.4062,5,9.75,0,172,144.713,0,18.28
424,4.4167,5,10,0,173,144.7,0,15.335
425,4.4271,5,10.25,0,160,144.688,0,12.745
426,4.4375,5,10.5,0,162,144.675,0,10.51
427,4.4479,5,10.75,0,154,144.662,0.001,8.61
428,4.4583,5,11,0,151,144.65,0.001,7.014
429,4.4688,5,11.25,0,153,144.637,0.001,5.685
430,4.4792,5,11.5,0,150,144.625,0.001,4.588
431,4.4896,5,11.75,0,146,144.613,0.001,3.689
432,4.5,5,12,0,145,144.6,0.001,2.956
433,4.5104,5,12.25,0,151,144.588,0.001,10.993
434,4.5208,5,12.5,0,179,144.575,0.001,37.525
435,4.5312,5,12.75,0,202,144.562,0.001,50.54
436,4.5417,5,13,0,194,144.55,0.001,55.034
437,4.5521,5,13.25,0,196,144.537,0.001,54.376
438,4.5625,5,13.5,0,199,144.525,0.001,50.8
439,4.5729,5,13.75,0,201,144.512,0.001,45.759
440,4.5833,5,14,0,199,144.5,0.002,40.176
441,4.5938,5,14.25,0,194,144.488,0.002,34.609
442,4.6042,5,14.5,0,191,144.475,0.002,29.379
443,4.6146,5,14.75,0,188,144.463,0.002,24.65
444,4.625,5,15,0,191,144.45,0.002,20.487
445,4.6354,5,15.25,0,181,144.438,0.002,16.893
446,4.6458,5,15.5,0,167,144.425,0.002,13.838
447,4.6562,5,15.75,0,168,144.412,0.003,11.271
448,4.6667,5,16,0,163,144.4,0.003,9.135
449,4.6771,5,16.25,0,156,144.387,0.003,7.372
450,4.6875,5,16.5,0,145,144.375,0.003,5.927
451,4.6979,5,16.75,0,148,144.363,0.004,4.749
452,4.7083,5,17,0,144,144.35,0.004,3.794
453,4.7188,5,17.25,0,152,144.338,0.004,3.023
454,4.7292,5,17.5,0,151,144.325,0.004,2.403
455,4.7396,5,17.75,0,145,144.312,0.005,1.905
456,4.75,5,18,0,148,144.3,0.005,1.508
457,4.7604,5,18.25,0,147,144.287,0.006,1.191
458,4.7708,5,18.5,0,197,144.275,0.006,40.937
459,4.7812,5,18.75,0,209,144.262,0.006,63.257
460,4.7917,5,19,0,221,144.25,0.007,72.343
461,4.8021,5,19.25,0,214,144.238,0.007,73.301
462,4.8125,5,19.5,0,204,144.225,0.008,69.538
463,4.8229,5,19.75,0,194,144.213,0.009,63.289
464,4.8333,5,20,0,189,144.2,0.009,55.981
465,4.8438,5,20.25,0,173,144.188,0.01,48.495
466,4.8542,5,20.5,0,172,144.175,0.011,41.347
467,4.8646,5,20.75,0,164,144.162,0.011,34.814
468,4.875,5,21,0,167,144.15,0.012,29.017
469,4.8854,5,21.25,0,155,144.137,0.013,23.985
470,4.8958,5,21.5,0,146,144.125,0.014,19.686
471,4.9062,5,21.75,0,150,144.113,0.015,16.062
472,4.9167,5,22,0,151,144.1,0.016,13.038
473,4.9271,5,22.25,0,142,144.088,0.017,10.536
474,4.9375,5,22.5,0,152,144.075,0.018,8.481
475,4.9479,5,22.75,0,146,144.062,0.019,6.802
476,4.9583,5,23,0,149,144.05,0.021,5.44
477,4.9688,5,23.25,0,150,144.037,0.022,4.338
478,4.9792,5,23.5,0,154,144.025,0.024,3.45
479,4.9896,5,23.75,0,150,144.012,0.025,2.738
480,5,6,0,1,148,144,0.027,0
481,5.0104,6,0.25,1,145,143.988,0.029,0
482,5.0208,6,0.5,1,151,143.975,0.031,0
483,5.0312,6,0.75,1,149,143.963,0.033,0
484,5.0417,6,1,1,150,143.95,0.035,0
485,5.0521,6,1.25,1,150,143.938,0.037,0
486,5.0625,6,1.5,1,146,143.925,0.04,0.001
487,5.0729,6,1.75,1,143,143.912,0.042,0.003
488,5.0833,6,2,1,146,143.9,0.045,0.007
489,5.0938,6,2.25,1,147,143.887,0.048,0.015
490,5.1042,6,2.5,1,149,143.875,0.051,0.035
491,5.1146,6,2.75,1,149,143.863,0.054,0.073
492,5.125,6,3,1,151,143.85,0.058,0.147
493,5.1354,6,3.25,1,149,143.838,0.061,0.278
494,5.1458,6,3.5,1,148,143.825,0.065,0.497
495,5.1562,6,3.75,1,149,143.812,0.069,0.843
496,5.1667,6,4,1,158,143.8,0.073,1.352
497,5.1771,6,4.25,1,154,143.787,0.078,2.051
498,5.1875,6,4.5,1,152,143.775,0.083,2.943
499,5.1979,6,4.75,1,148,143.762,0.088,3.995
500,5.2083,6,5,1,151,143.75,0.093,5.129
501,5.2188,6,5.25,1,155,143.738,0.098,6.23
502,5.2292,6,5.5,1,156,143.725,0.104,7.159
503,5.2396,6,5.75,1,161,143.713,0.11,7.781
504,5.25,6,6,1,155,143.7,0.117,8
505,5.2604,6,6.25,1,156,143.688,0.124,7.781
506,5.2708,6,6.5,1,160,143.675,0.131,7.159
507,5.2812,6,6.75,1,155,143.662,0.139,6.23
508,5.2917,6,7,1,150,143.65,0.146,5.129
509,5.3021,6,7.25,1,153,143.637,0.155,3.995
510,5.3125,6,7.5,1,155,143.625,0.164,2.943
511,5.3229,6,7.75,1,159,143.613,0.173,16.322
512,5.3333,6,8,1,180,143.6,0.182,30.884
513,5.3438,6,8.25,1,193,143.588,0.193,37.394
514,5.3542,6,8.5,1,182,143.575,0.203,38.925
515,5.3646,6,8.75,1,181,143.562,0.214,37.522
516,5.375,6,9,1,179,143.55,0.226,34.521
517,5.3854,6,9.25,1,168,143.537,0.238,30.779
518,5.3958,6,9.5,1,159,143.525,0.251,26.829
519,5.4062,6,9.75,1,147,143.512,0.265,22.99
520,5.4167,6,10,1,152,143.5,0.279,19.438
521,5.4271,6,10.25,1,156,143.488,0.293,16.258
522,5.4375,6,10.5,1,144,143.475,0.309,13.478
523,5.4479,6,10.75,1,150,143.463,0.325,11.09
