gene_id,S01,S02,S03,S04,S05,S06,S07,S08,S09,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S21,S22,S23,S24
G0026,226,184,751,1567,137,227,407,145,148,305,600,317,173,140,201,208,318,265,76,97,97,178,160,302
G0027,36,17,425,74,18,4,220,65,62,95,229,159,79,94,133,27,116,428,471,14,76,48,171,65
G0028,851,691,2713,1238,1051,359,1653,581,335,2227,1571,742,2732,1903,9156,6292,1929,2982,4727,1565,4514,6816,9799,7759
G0029,219,83,14,325,15,117,216,43,59,29,425,515,177,279,139,166,44,678,43,99,159,28,12,518
G0030,3018,838,2555,4082,1831,1150,2313,1353,1523,5615,4669,3099,254,549,947,384,264,380,415,183,455,638,668,605
G0031,587,355,288,834,637,84,234,331,203,347,489,650,79,89,88,379,178,368,832,272,433,470,426,335
G0032,473,184,671,284,302,211,218,104,74,103,62,510,70,175,41,97,101,12,95,41,10,143,49,115
G0033,634,84,72,600,195,61,366,310,49,80,293,374,100,38,374,100,78,42,144,51,99,50,91,191
G0034,10,0,35,240,49,27,101,20,9,28,12,7,19,47,8,134,0,62,4,37,19,3,1,6
G0035,346,70,219,353,241,228,39,111,317,661,264,112,410,289,6092,1506,496,418,668,248,592,219,1814,398
G0036,22,36,69,0,55,50,52,66,49,20,86,184,1,14,0,1,0,1,46,10,32,0,1,25
G0037,54,75,56,0,17,43,23,27,3,1,1,44,72,18,81,70,97,512,103,36,55,57,41,148
G0038,813,215,798,945,448,401,348,648,196,967,1076,640,820,627,1527,2010,861,1033,778,260,1472,1399,1047,2582
G0039,542,434,1086,2537,937,324,243,313,274,756,301,579,907,905,3232,1368,347,1202,990,1213,1349,1491,1034,2022
G0040,3284,651,1701,1451,1048,345,1142,598,273,1668,2751,1192,2338,12941,5175,7656,1185,2541,5163,2662,4009,2809,7115,4352
G0041,13,38,26,14,35,1,0,88,3,128,592,0,1,45,14,1,28,0,101,0,0,0,16,5
G0042,1519,702,1861,1828,1681,587,1555,855,659,4013,2410,2027,94,314,366,249,116,179,193,142,156,155,310,257
G0043,6073,1882,5721,6086,4179,2300,3343,3072,1539,11119,7043,2501,7414,28342,21239,10563,10501,11676,19820,8246,8127,15781,18774,33458
G0044,155,141,637,306,71,134,60,27,77,690,160,114,19,135,28,75,21,6,29,34,81,126,50,46
G0045,197,19,189,84,44,96,20,104,68,93,47,12,76,242,56,152,696,84,465,133,28,29,107,7
G0046,976,177,352,730,57,114,573,118,119,606,521,92,44,84,26,131,65,91,103,26,5,52,91,145
G0047,295,55,56,124,128,51,64,5,3,37,213,47,13,2,55,76,3,7,41,10,14,49,34,4
G0048,386,16,180,188,176,42,142,253,104,194,324,11,65,1824,1662,42,114,179,107,569,108,418,162,106
G0049,74,31,102,165,223,53,67,6,4,353,0,220,13,17,27,0,25,1,26,0,15,0,0,0
G0050,207,30,553,197,18,6,0,158,267,378,334,21,244,106,453,675,31,111,312,477,379,43,184,18
G0051,6983,2253,4330,8772,6391,3607,6073,2966,2529,8357,8092,5153,737,1687,2130,804,593,830,993,618,803,1196,1088,1239
G0052,2456,680,2489,2456,1922,1216,2088,751,905,1755,4188,3397,149,1128,830,604,208,458,198,384,694,662,446,814
G0053,871,442,662,531,2006,324,237,438,417,643,1195,387,1267,1771,1993,915,721,1547,1722,785,1022,1207,3050,1215
G0054,1599,658,1828,782,1266,951,790,655,286,2118,2063,923,246,1047,510,440,404,452,504,436,463,920,738,439
G0055,198,19,520,322,382,55,67,14,130,377,171,233,320,443,1271,90,87,311,416,588,163,242,378,95
G0056,2868,460,3598,2914,3224,883,1534,1402,826,4764,3199,3949,720,988,1117,1200,648,543,1024,504,319,748,559,796
G0057,254,131,255,218,336,257,217,110,58,82,323,207,24,170,68,79,24,148,6,31,1,84,24,130
G0058,1178,466,787,1758,828,712,827,878,481,2597,1339,879,264,258,496,629,205,300,303,278,275,346,665,405
G0059,3583,2052,9364,10836,5077,2064,4119,3104,2102,11502,5772,5608,7115,17631,24296,7813,9250,6131,13697,4118,6578,17079,14832,12627
G0060,0,1,0,136,7,0,3,0,0,128,83,0,0,0,21,22,7,0,2,0,0,1,1,12
G0061,4586,2247,2442,6444,2590,2169,7020,2182,572,3736,7173,1366,3444,6248,7938,1739,1626,1453,3678,963,1352,3035,3357,3094
G0062,727,262,1189,507,764,582,340,197,378,1762,850,1721,192,1073,564,387,415,273,383,404,875,827,1338,295
G0063,17,49,144,16,15,17,77,4,134,41,21,5,0,6,172,13,6,65,108,26,71,178,186,114
G0064,1452,318,825,1146,648,377,461,218,352,804,1224,1059,426,404,633,243,251,544,376,291,566,671,497,684
G0065,898,338,1032,1064,974,388,403,461,271,1793,1204,423,638,572,733,477,445,573,644,371,154,1303,831,502
G0066,370,140,317,119,77,97,252,218,113,2564,1219,160,84,27,128,240,243,112,176,134,176,1150,287,1888
G0067,1171,270,1911,2375,2432,1253,1321,1042,482,2665,3625,1452,402,2275,1584,667,542,626,1810,754,433,1134,510,1046
G0068,1217,255,1009,726,555,345,193,452,384,1194,760,318,494,516,755,494,344,570,527,224,310,130,234,377
G0069,1716,1346,3447,4256,5690,2543,3019,1087,1367,6388,6619,4409,1668,5075,3877,2379,1750,2423,2552,1092,1054,2461,1979,3004
G0070,44,34,513,250,217,75,286,143,3,455,71,31,42,709,163,89,266,69,46,24,99,161,271,106
G0071,1291,301,1450,713,800,1053,1114,758,481,2097,595,1383,710,1220,859,591,293,746,1171,305,667,368,688,1159
G0072,59,215,101,224,232,146,28,25,69,635,24,62,146,150,65,22,73,204,18,32,74,72,86,208
G0073,633,586,2039,2724,787,585,1147,484,670,1551,3564,1071,638,783,1080,1308,170,610,1376,672,874,978,598,2179
G0074,18,50,2,7,6,7,307,8,25,157,17,137,55,44,56,15,82,4,1,50,1,6,7,2
G0075,182,142,251,497,147,59,107,66,81,557,38,295,155,108,180,154,37,91,47,66,16,30,117,199
G0076,498,52,600,217,167,245,333,86,57,197,464,326,45,382,387,139,117,250,481,202,155,424,497,463
G0077,444,56,214,360,730,177,136,72,288,215,279,174,103,194,305,17,188,60,86,57,30,39,33,455
G0078,57,2,34,609,26,11,156,71,78,488,168,315,139,92,243,81,24,0,37,1,160,32,39,94
G0079,235,241,947,235,707,179,627,152,83,482,180,255,113,686,381,67,281,244,200,210,323,200,324,690
G0080,3052,1114,4550,4780,1956,1490,1440,1064,1330,6348,4275,3021,1485,3139,3158,1925,1833,1761,2888,2410,1902,3908,2376,1810
G0081,684,112,890,1738,553,463,1066,137,336,682,485,614,182,631,428,1131,309,598,282,224,293,359,557,204
G0082,391,108,12,129,88,5,115,17,91,0,5,0,0,2,6,3,2,7,2,71,155,43,0,49
G0083,1132,351,296,690,911,417,177,222,556,467,1032,636,327,311,500,488,281,230,353,331,797,1292,871,1299
G0084,60,21,381,33,126,19,115,10,78,104,118,235,66,379,129,377,97,12,92,87,67,96,80,79
G0085,352,149,69,9,277,184,207,85,63,722,12,438,0,74,31,105,32,89,164,11,36,45,56,303
G0086,637,435,222,266,618,177,531,378,379,1276,394,566,439,261,764,414,394,728,371,346,281,418,197,561
G0087,124,18,189,162,208,109,169,145,36,25,810,47,163,354,19,50,33,272,21,28,94,22,22,224
G0088,661,62,575,255,238,85,14,79,20,132,362,210,103,65,56,12,13,157,35,13,148,95,179,92
G0089,0,0,0,273,11,71,2,32,0,55,0,0,2,30,2,4,23,0,0,12,2,0,0,7
G0090,4,3,214,0,150,5,13,1,17,183,7,66,60,227,5,97,49,21,27,9,152,31,119,9
G0091,1532,511,1766,1074,1388,520,1061,899,479,2539,1311,958,303,612,583,1171,689,262,1165,814,875,1161,873,1299
G0092,195,0,66,96,14,0,0,10,16,44,2,1,8,0,59,0,4,38,0,16,4,0,0,58
G0093,88,0,14,23,62,0,3,4,2,5,4,2,4,1,1,8,14,0,125,10,0,73,0,3
G0094,444,100,48,135,1194,112,15,119,22,376,149,221,62,654,244,250,84,287,87,165,195,424,527,129
G0095,167,15,10,23,191,99,53,64,7,39,9,235,55,56,231,18,61,31,77,70,83,65,1,8
G0096,178,210,821,240,355,294,348,273,457,1241,793,117,479,281,228,276,58,217,106,289,264,245,511,95
G0097,1090,309,1318,595,438,465,816,219,522,1224,973,995,827,689,1186,356,604,490,676,277,369,484,798,1190
G0098,3489,1306,3686,2951,1677,1360,2115,1097,1425,1684,3766,1789,1628,2372,2030,1541,388,1190,1281,905,708,1848,1585,2152
G0099,361,58,359,352,193,119,408,120,98,19,100,609,74,333,391,29,173,130,130,84,101,79,165,234
G0100,734,158,119,396,624,39,327,171,11,751,89,371,242,193,193,86,18,87,117,26,20,41,58,59
G0101,1934,1073,1464,2021,1576,743,1377,1032,590,2905,1712,2085,664,1727,2346,841,448,966,1640,514,1120,1318,1338,2954
G0102,55,9,101,121,223,11,181,210,119,603,103,209,190,76,582,1,102,38,130,30,121,57,57,182
G0103,395,28,476,261,838,125,191,164,38,151,35,236,72,401,20,139,35,137,62,76,433,34,55,421
G0104,150,59,50,96,257,3,63,477,24,237,440,264,30,395,41,54,139,45,192,115,45,41,158,230
G0105,128,31,141,1211,184,549,158,56,115,464,176,168,30,497,625,188,145,108,349,119,4,131,38,30
G0106,858,350,2349,2412,1170,733,1730,887,312,1834,966,1619,634,989,1381,623,882,598,506,618,724,1550,914,844
G0107,99,7,274,3,71,51,176,14,0,233,21,21,17,120,64,75,26,17,39,19,6,0,27,54
G0108,402,54,555,502,174,94,525,279,144,456,732,310,87,60,542,115,197,107,216,379,244,192,84,513
G0109,160,90,72,141,282,68,821,271,84,176,292,78,200,205,159,61,103,118,264,295,144,329,136,365
G0110,218,31,399,263,390,26,122,37,151,960,437,208,48,318,261,76,63,61,73,34,73,125,258,480
G0111,931,66,124,188,346,132,103,452,127,839,385,349,512,267,277,217,140,76,120,101,105,591,157,929
G0112,982,320,1147,1397,1249,257,1159,443,242,1279,1713,1651,223,746,1005,339,273,660,560,1348,450,823,1001,212
G0113,416,173,996,1349,179,244,967,519,72,824,462,221,120,750,317,460,116,339,69,146,323,291,830,723
G0114,0,1,14,182,1,87,73,82,3,180,85,0,131,41,45,1,23,174,7,155,54,66,6,13
G0115,512,184,1186,1824,1206,442,725,576,537,1447,1710,1224,442,874,1012,791,497,462,542,295,509,645,1808,1109
G0116,516,243,610,661,1055,468,515,291,332,409,468,722,344,256,259,137,193,496,241,80,660,477,214,303
G0117,777,226,1720,1303,920,632,754,462,1005,1282,1157,1900,624,1290,930,726,664,847,1027,731,904,1597,1062,834
G0118,155,106,371,555,541,316,352,135,83,390,627,112,263,250,224,98,35,462,447,126,60,860,718,402
G0119,768,230,1214,423,145,138,181,165,121,73,289,167,229,211,271,486,61,460,300,64,284,809,432,334
G0120,205,176,744,347,441,264,44,220,60,314,63,89,157,318,382,63,64,226,79,135,23,494,205,170
G0121,228,66,96,242,130,232,186,159,51,73,149,588,41,53,106,22,47,124,44,45,269,181,269,434
G0122,487,337,1190,2018,645,347,212,266,387,2686,688,725,426,1021,554,1026,510,404,166,448,474,652,1409,1214
G0123,1003,203,555,942,592,644,525,602,407,1252,540,394,342,1147,655,487,257,469,734,486,724,815,1119,1392
G0124,170,216,456,1063,558,154,1010,283,234,423,239,219,210,385,183,373,200,370,126,160,383,67,577,582
G0125,892,147,935,632,543,273,383,533,339,1070,772,255,309,531,823,207,349,345,987,658,473,255,642,1202
G0126,10354,2524,7134,8696,3452,3056,9598,5879,2808,16424,12214,8831,3364,5566,7472,3360,2889,2919,5664,5896,4548,6958,8805,5762
G0127,513,50,831,374,414,134,657,558,117,800,487,468,84,671,548,418,67,198,100,98,24,105,370,67
G0128,876,226,728,953,1973,331,1332,695,295,1359,1932,2143,384,445,987,509,312,568,1038,242,810,992,849,1063
G0129,1408,227,2118,2264,630,435,803,851,491,2067,1665,2536,847,1177,1010,1310,758,944,611,692,534,1204,923,1234
G0130,37,105,70,283,114,287,128,100,173,689,138,54,4,61,49,84,16,169,97,17,8,72,58,62
G0131,1356,581,1711,1485,806,475,889,316,411,996,1912,1170,552,739,1050,475,767,1096,1236,570,869,1501,1109,1348
G0132,650,237,1191,1504,721,236,934,438,231,1380,683,806,449,1087,962,475,368,156,190,249,442,589,552,662
G0133,585,110,612,499,337,195,226,179,226,604,136,404,60,931,179,322,357,35,131,187,122,556,473,286
G0134,1,0,111,161,4,61,370,27,25,200,7,314,47,7,162,576,3,0,49,16,1,17,9,140
G0135,55,131,46,54,146,135,33,21,15,233,152,142,112,202,292,50,40,139,358,86,94,184,14,72
G0136,30,12,410,569,2,61,40,54,44,814,194,103,22,201,23,312,47,208,31,42,246,205,153,109
G0137,292,183,257,385,600,123,138,100,106,234,213,302,88,80,175,97,69,166,270,219,240,341,12,76
G0138,286,169,330,521,191,314,405,207,172,1015,846,808,212,1418,505,420,184,183,545,206,476,167,480,491
G0139,180,100,362,10,37,58,94,42,186,65,30,142,36,53,40,11,22,91,32,104,0,84,11,124
G0140,1316,733,1731,1538,1023,477,452,177,444,998,1545,459,909,968,1681,1090,701,545,450,460,532,828,538,781
G0141,553,135,841,942,475,213,157,50,29,96,113,304,202,715,264,160,141,343,136,101,109,107,208,144
G0142,552,402,1195,349,1067,494,457,186,139,355,426,282,262,849,191,348,339,688,334,192,44,164,451,583
G0143,282,257,411,545,316,154,105,123,303,67,190,51,98,278,316,154,36,230,163,55,76,223,258,209
G0144,227,10,44,179,196,133,226,65,45,13,406,130,56,659,331,93,41,47,52,26,14,454,71,96
G0145,304,87,427,210,292,191,412,190,298,272,1190,603,124,242,527,67,68,65,760,146,310,442,295,373
G0146,517,201,46,233,330,193,53,123,178,105,591,40,9,179,234,25,48,139,583,303,59,133,640,105
G0147,187,27,562,245,297,59,415,43,147,558,299,256,19,264,78,218,251,100,75,77,51,582,112,88
G0148,1358,219,2617,3014,1941,1957,2773,727,1013,3044,3896,3167,935,1833,1673,971,1056,2297,2056,1674,1222,2548,1909,2309
G0149,1532,847,4029,816,2255,1512,983,1155,726,1590,1757,600,466,1163,983,798,427,539,713,397,458,700,738,653
G0150,25,131,11,117,58,2,13,10,156,476,291,121,11,77,58,35,3,44,43,2,17,42,20,146
G0151,20,31,646,40,224,40,0,25,36,1,59,83,16,0,83,1,46,62,9,16,7,7,238,164
G0152,88,43,88,67,121,37,29,9,10,44,30,29,18,30,110,33,77,103,20,23,7,659,3,8
G0153,504,97,1331,241,244,201,408,88,89,546,693,357,259,440,154,84,338,142,241,113,127,260,115,63
G0154,4281,1355,7593,4575,6498,2041,3061,2647,1227,9494,8348,3363,2993,6514,4815,3733,1393,2941,2677,3489,2536,3416,2307,4201
G0155,476,388,1355,945,722,494,906,266,435,2715,1919,885,405,401,664,1459,147,790,685,294,585,582,832,636
G0156,162,31,147,188,65,79,580,320,38,388,391,42,98,233,103,29,113,68,139,40,92,190,130,67
G0157,809,183,590,1479,894,194,270,200,114,1958,817,380,131,536,574,309,95,326,533,217,325,1020,130,208
G0158,271,97,321,485,157,120,184,94,8,113,231,154,69,236,564,134,55,172,23,138,93,247,144,116
G0159,1461,276,733,630,586,215,392,162,87,1416,296,366,126,549,316,138,112,333,370,359,180,132,417,620
G0160,228,294,1407,981,600,424,408,407,188,657,617,637,242,339,421,532,182,567,564,164,289,511,380,610
G0161,150,274,126,802,333,18,10,559,197,560,109,297,123,108,434,123,52,748,95,52,84,83,515,291
G0162,16,1,0,94,12,0,2,6,0,144,2,6,0,0,67,0,0,2,14,0,3,3,0,0
G0163,510,198,459,1095,526,249,594,263,123,1064,308,516,599,431,398,232,318,383,139,316,143,46,410,639
G0164,1831,454,2484,3599,2115,342,2336,524,664,1690,1382,1146,543,1405,1373,704,819,1191,2092,812,1312,934,716,2179
G0165,136,24,21,269,3,191,53,0,4,18,142,120,55,239,109,20,14,50,17,0,0,495,251,24
G0166,608,74,846,885,869,312,224,103,154,871,1188,257,192,306,438,160,342,230,1096,368,456,327,299,316
G0167,464,65,1462,800,886,62,308,79,46,426,429,108,191,163,99,319,233,170,100,79,164,379,276,357
G0168,824,527,1244,2136,839,505,319,875,801,1747,2757,1097,279,1713,935,1019,805,377,661,394,959,765,1020,445
G0169,61,170,528,716,432,149,673,88,121,430,120,386,47,224,255,511,88,228,431,51,364,294,346,417
G0170,962,281,901,684,1737,781,369,299,394,561,2090,946,475,1312,934,292,269,404,352,136,589,284,727,793
G0171,1026,482,2083,2913,902,499,1451,379,520,697,1515,1948,444,502,576,1021,584,764,825,420,577,1197,702,824
G0172,31,147,287,423,105,11,14,148,146,261,2,110,202,234,12,30,8,27,200,31,47,70,144,219
G0173,2634,260,2831,5039,2257,1339,2789,942,1277,2688,2159,2717,577,2699,2316,2146,1375,2143,2192,1072,958,940,2000,3639
G0174,1424,295,1905,180,1402,417,1073,601,348,1400,571,789,362,734,654,324,602,475,577,653,364,1090,385,745
G0175,965,258,1036,1109,805,415,881,341,474,2430,1566,958,505,1371,566,864,367,253,1095,522,655,822,666,1025
G0176,228,199,503,217,154,195,109,182,328,544,278,574,264,107,568,418,114,171,224,82,113,85,199,629
G0177,133,161,651,1236,266,176,387,188,126,766,306,93,210,100,488,275,321,271,340,133,407,207,162,333
G0178,1055,412,1056,301,334,229,331,391,493,936,537,599,395,415,597,656,357,120,434,497,149,450,311,602
G0179,160,135,574,473,765,91,166,104,111,66,258,214,325,349,195,260,39,23,314,210,45,141,192,122
G0180,3300,761,2871,2142,2060,898,1700,1086,777,2746,1972,1773,989,1958,2039,1133,920,1783,2429,619,796,1818,1708,1659
G0181,338,99,289,288,639,141,302,266,21,296,403,425,285,234,506,383,38,139,460,66,131,739,139,107
G0182,727,158,1031,1649,554,410,202,182,19,860,833,334,607,806,631,385,175,593,649,171,527,201,348,392
G0183,1261,560,1449,1138,945,218,654,334,462,2600,714,820,407,1372,520,558,479,845,489,376,358,827,597,1536
G0184,538,88,432,226,1206,399,460,203,163,705,473,818,169,311,366,425,258,278,154,211,224,525,742,1483
G0185,189,14,34,32,400,16,111,163,3,10,13,12,46,24,23,3,9,21,3,18,3,10,21,112
G0186,74,30,133,670,63,90,320,112,15,109,336,69,54,113,193,196,30,60,17,54,125,97,90,19
G0187,382,139,201,80,90,108,414,53,14,234,54,352,145,207,77,33,51,102,191,70,78,55,214,289
G0188,1158,95,988,562,777,758,809,547,342,953,736,707,240,608,1035,462,264,418,465,293,207,623,265,168
G0189,1288,203,2661,660,800,209,420,142,331,730,321,987,758,983,618,593,178,501,1075,384,185,516,591,597
G0190,476,157,267,105,590,128,66,163,78,477,503,101,171,254,107,135,69,294,166,68,65,135,412,47
G0191,4615,763,4925,5891,3854,2318,2041,1421,1014,8732,3386,2040,1731,3945,3379,2153,1880,1714,2981,1210,1525,1865,2341,2837
G0192,214,179,1279,451,334,151,370,197,398,402,470,350,50,406,540,32,166,540,370,177,479,153,502,409
G0193,786,57,1146,1110,153,105,1264,204,138,1500,209,1778,157,938,941,518,117,400,368,340,658,355,364,221
G0194,823,106,324,616,182,370,256,89,107,105,211,156,96,270,382,236,37,464,332,135,139,487,156,219
G0195,277,132,511,429,299,105,189,40,60,738,268,188,128,68,316,116,12,323,215,168,81,357,81,160
G0196,47,1,0,1,0,0,4,0,4,27,0,9,33,2,12,119,15,6,3,7,12,39,6,11
G0197,268,170,630,338,165,110,253,151,101,1705,1387,326,53,642,68,200,124,210,79,202,202,478,207,248
G0198,327,47,502,9,740,167,81,45,121,375,664,325,109,416,179,79,118,153,58,46,25,60,231,57
G0199,1131,604,3523,3596,1716,861,2230,1120,1260,7107,3550,2033,1276,2876,2484,1318,983,1351,916,845,1094,1897,1226,1645
G0200,2788,1114,3528,4412,2545,1188,1962,1378,1425,5172,1966,2097,1082,3014,3048,1747,1550,1451,1296,913,915,2484,2009,1455
G0201,1093,316,1434,1331,559,275,302,590,369,1368,1007,784,280,604,614,306,230,263,420,454,431,173,566,848
G0202,483,0,121,88,80,0,21,9,105,11,36,19,143,23,2,89,1,67,1,10,10,1,99,10
G0203,1388,542,1633,1806,880,376,590,268,694,2974,1069,2452,557,1767,1242,1222,675,983,862,437,558,661,774,1540
G0204,19,19,245,171,9,2,166,4,35,5,67,53,55,74,23,81,12,2,142,135,1,259,72,459
G0205,1218,41,623,727,281,566,210,118,373,683,1328,908,434,1735,264,734,158,277,448,184,677,847,674,489
G0206,4214,1654,4076,4260,4099,1776,1188,1153,779,5750,2481,4411,1059,2560,3675,2894,1556,1780,1904,1645,1527,2829,2250,3442
G0207,23,224,224,705,69,95,300,108,61,708,272,66,22,91,355,4,324,38,66,94,27,88,99,52
G0208,250,182,1384,716,288,172,670,88,264,189,137,495,55,302,812,405,398,117,186,118,315,212,362,381
G0209,255,118,382,303,460,381,150,177,9,993,28,468,170,593,90,669,147,519,220,191,8,139,241,500
G0210,562,231,1104,208,644,430,469,70,132,451,118,439,120,781,166,772,327,54,1089,382,311,182,435,949
G0211,1563,517,1845,1052,1754,292,1671,605,419,2749,1503,667,552,1606,1022,368,420,521,524,984,1213,650,2491,572
G0212,1410,864,2147,2025,1414,441,1503,448,502,2079,1928,1257,849,1031,2099,774,830,622,1545,779,1040,1432,1691,771
G0213,407,353,692,1652,559,322,281,281,256,1460,399,647,338,800,1500,805,282,174,457,116,252,752,144,742
G0214,27,147,362,260,44,348,208,72,93,392,202,346,50,259,194,109,44,102,191,140,84,202,294,141
G0215,731,55,326,657,252,99,716,160,34,1355,270,486,190,142,217,362,67,71,428,97,216,113,174,356
G0216,886,198,160,244,163,264,268,168,169,280,493,556,118,248,629,101,152,271,23,78,52,191,225,305
G0217,51,191,2,230,607,242,18,60,5,14,375,28,198,29,56,1,115,44,435,1,178,7,70,191
G0218,257,12,664,374,581,14,144,63,57,1475,150,474,252,103,128,188,210,46,381,30,29,240,181,166
G0219,1046,800,3149,1023,1881,626,997,650,1039,1858,2741,1304,451,1376,902,964,669,1099,485,588,711,1693,619,818
G0220,244,85,157,649,21,61,40,127,29,370,99,32,32,35,470,421,352,143,18,125,234,142,145,7
G0221,8,143,273,190,434,26,198,146,5,63,8,93,2,68,26,12,18,48,18,60,34,2,0,43
G0222,185,74,432,622,336,348,286,14,27,294,124,113,170,558,466,260,70,157,138,45,105,32,68,89
G0223,755,242,732,577,838,629,850,471,145,1095,1092,1733,665,1021,726,711,411,1017,697,250,692,420,727,789
G0224,2924,1930,4615,4797,2596,1474,3842,1272,1532,7032,3463,3332,788,2329,2429,2950,1061,2488,3460,1760,1421,2337,2025,3463
G0225,448,251,392,1437,443,274,654,292,345,571,682,490,133,185,203,654,187,139,471,230,353,219,297,229
G0226,161,74,115,33,807,201,153,51,327,208,133,191,119,194,59,285,125,183,154,301,60,130,210,549
G0227,56,135,47,519,121,66,254,204,52,583,611,173,118,93,253,168,25,136,189,194,233,305,196,54
G0228,39,0,146,1,145,18,29,19,2,28,55,38,12,6,2,0,3,47,0,30,34,100,112,45
G0229,25,15,147,59,3,19,25,76,20,255,103,316,10,22,43,7,21,41,1,2,106,141,9,113
G0230,2325,633,981,1922,665,765,1187,342,247,1383,1512,1685,692,1650,768,580,872,417,808,823,961,712,986,697
G0231,1151,117,178,1254,844,406,893,251,219,1735,1570,964,146,258,1055,292,225,793,896,417,603,745,360,824
G0232,360,194,807,1036,653,342,196,150,106,518,195,713,232,95,304,51,188,202,411,389,268,789,532,625
G0233,887,106,1141,193,832,118,412,255,148,953,128,866,165,910,248,440,258,174,178,225,307,200,167,1035
G0234,1661,648,1773,4546,1195,473,524,1146,141,2850,1366,1054,238,1175,2193,1617,500,1196,432,421,750,899,833,885
G0235,1891,549,2500,1704,1494,1020,1669,406,662,2466,2321,1229,648,2014,1145,1464,777,960,1007,628,507,1670,863,1420
G0236,542,236,275,1695,120,91,517,50,96,129,976,876,491,286,438,462,217,199,137,126,280,601,514,646
G0237,60,8,743,63,387,143,98,84,246,326,279,95,88,287,201,161,23,144,516,39,257,171,380,123
G0238,122,2,7,25,27,74,88,0,3,17,0,173,1,1,1,1,25,5,10,63,1,127,1,0
G0239,25,11,69,123,25,65,113,20,6,139,0,37,14,52,153,2,7,0,34,0,8,241,112,74
G0240,990,367,3319,1221,1013,501,1110,1067,257,2597,2253,1454,410,1081,816,1628,645,925,1381,316,529,1330,286,522
G0241,684,498,867,689,1119,233,173,99,65,1427,1240,582,220,312,706,869,482,791,581,430,135,651,280,1229
G0242,54,7,350,100,205,242,112,30,1,37,139,6,47,5,203,47,75,185,25,4,23,80,21,253
G0243,50,15,215,748,24,35,18,24,130,9,121,32,55,302,244,93,40,94,40,1,32,12,340,2
G0244,817,23,70,136,444,58,96,124,193,243,200,304,35,144,36,102,91,252,242,35,230,187,91,159
