ppm,intensity
1.349,0.0831
1.3505,0.0748
1.352,0.0851
1.3535,0.0282
1.355,0.0415
1.3565,0.0218
1.358,0.0433
1.3595,0.0316
1.361,0.0088
1.3625,0.0336
1.364,0.0321
1.3655,0.0377
1.367,0.0447
1.3685,0.0128
1.37,0.0237
1.3715,0.0194
1.373,0.0228
1.3745,0.0334
1.376,0.0259
1.3775,-0.0166
1.379,-0.019
1.3805,-0.0107
1.382,0.0271
1.3835,0.0535
1.385,-0.0207
1.3865,-0.0062
1.388,0.0182
1.3895,0.0289
1.391,0.0156
1.3925,-0.0055
1.394,-0.0036
1.3955,0.0386
1.397,0.026
1.3985,-0.0047
1.4,-0.0022
1.4015,0.0255
1.403,0.019
1.4045,0.0266
1.406,0.0101
1.4075,0.0025
1.409,-0.034
1.4105,0.0223
1.412,-0.0049
1.4135,-0.0029
1.415,1e-04
1.4165,-0.0093
1.418,0.0325
1.4195,0.0101
1.421,0.0215
1.4225,-3e-04
1.424,0.0061
1.4255,-0.0153
1.427,0.0285
1.4285,-0.0211
1.43,-0.0095
1.4315,0.0157
1.433,0.0038
1.4345,0.0273
1.436,0.0113
1.4375,-0.0077
1.439,0.0432
1.4405,0.0172
1.442,0.0461
1.4435,0.0334
1.445,0.0316
1.4465,0.0215
1.448,-0.0026
1.4495,0.008
1.451,0.0287
1.4525,0.0558
1.454,0.0284
1.4555,0.0417
1.457,0.0393
1.4585,0.0524
1.46,0.0517
1.4615,0.0357
1.463,0.0416
1.4645,0.0705
1.466,0.0697
1.4675,0.0698
1.469,0.1121
1.4705,0.1178
1.472,0.1584
1.4735,0.2044
1.475,0.288
1.4765,0.3303
1.478,0.4164
1.4795,0.4331
1.481,0.4528
1.4825,0.4063
1.484,0.3025
1.4855,0.2554
1.487,0.1743
1.4885,0.1535
1.49,0.1163
1.4915,0.0782
1.493,0.1029
1.4945,0.0785
1.496,0.0322
1.4975,0.0756
1.499,0.027
1.5005,0.0434
1.502,0.0456
1.5035,0.0234
1.505,0.0283
1.5065,0.055
1.508,0.0253
1.5095,0.0083
1.511,0.0148
1.5125,0.0243
1.514,0.0093
1.5155,-0.0045
1.517,0.0123
1.5185,-0.0164
1.52,0.013
1.5215,0.003
1.523,-0.0019
1.5245,0.0408
1.526,0.0144
1.5275,-0.0063
1.529,0.0077
1.5305,0.0257
1.532,0.0039
1.5335,-0.0051
1.535,0.0076
1.5365,-0.0153
1.538,-0.0106
1.5395,0.0237
1.541,0.0069
1.5425,-0.006
1.544,0.0049
1.5455,0.0171
1.547,-0.0023
1.5485,0.0013
1.55,0.0087
